vp	vp	kod	nod	vud	mdflw	rbf	
1.750000e+00	1.143451e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.760000e+00	1.164241e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.770000e+00	1.185031e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.780000e+00	1.205821e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.790000e+00	1.226611e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.800000e+00	1.247401e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.810000e+00	1.268191e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.820000e+00	1.288981e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.830000e+00	1.309771e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.840000e+00	1.330561e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.850000e+00	1.351351e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.860000e+00	1.372141e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.870000e+00	1.392931e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.880000e+00	1.413721e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.890000e+00	1.434511e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.900000e+00	1.455301e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.910000e+00	1.476091e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.920000e+00	1.496881e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.930000e+00	1.517672e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.940000e+00	1.538462e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.950000e+00	1.559252e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.960000e+00	1.580042e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.970000e+00	1.600832e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.980000e+00	1.621622e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.990000e+00	1.642412e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.000000e+00	1.663202e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.010000e+00	1.683992e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.020000e+00	1.704782e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.030000e+00	1.725572e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.040000e+00	1.746362e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.050000e+00	1.767152e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.060000e+00	1.787942e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.070000e+00	1.808732e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.080000e+00	1.829522e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.090000e+00	1.850312e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.100000e+00	1.871102e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.110000e+00	1.891892e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.120000e+00	1.912682e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.130000e+00	1.933472e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.140000e+00	1.954262e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.150000e+00	1.975052e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.160000e+00	1.995842e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.170000e+00	2.016632e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.180000e+00	2.037422e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.190000e+00	2.058212e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.200000e+00	2.079002e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.210000e+00	2.099792e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.220000e+00	2.120582e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.230000e+00	2.141372e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.240000e+00	2.162162e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.250000e+00	2.182952e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.260000e+00	2.203742e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.270000e+00	2.224532e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.280000e+00	2.245322e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.290000e+00	2.266112e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.300000e+00	2.286902e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.310000e+00	2.307692e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.320000e+00	2.328482e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.330000e+00	2.349272e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.340000e+00	2.370062e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.350000e+00	2.390852e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.360000e+00	2.411642e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.370000e+00	2.432432e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.380000e+00	2.453222e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.390000e+00	2.474012e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.400000e+00	2.494802e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.410000e+00	2.515593e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.420000e+00	2.536383e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.430000e+00	2.557173e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.440000e+00	2.577963e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.450000e+00	2.598753e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.460000e+00	2.619543e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
2.470000e+00	2.640333e-01	0.000000e+00	1.000000e-09	7.911596e-02	6.498235e-03	1.218516e+00	
2.480000e+00	2.661123e-01	0.000000e+00	1.000000e-09	7.911596e-02	3.626397e-02	1.218516e+00	
2.490000e+00	2.681913e-01	4.915897e-03	1.000000e-09	8.073756e-02	6.572144e-02	1.218516e+00	
2.500000e+00	2.702703e-01	9.672367e-03	1.000000e-09	8.230658e-02	9.487541e-02	1.218516e+00	
2.510000e+00	2.723493e-01	1.412385e-02	1.000000e-09	8.377499e-02	1.237305e-01	1.218516e+00	
2.520000e+00	2.744283e-01	1.855130e-02	1.000000e-09	8.523547e-02	1.522913e-01	1.218516e+00	
2.530000e+00	2.765073e-01	2.295353e-02	1.000000e-09	8.668763e-02	1.805623e-01	1.218516e+00	
