anm	anm	kod	nod	vud	mdflw	rbf	
8.540000e-01	8.184524e-02	1.161056e-01	1.000000e-09	1.174157e-01	3.276556e-01	1.473281e+00	
8.550000e-01	8.333333e-02	1.206150e-01	1.000000e-09	1.189032e-01	3.523924e-01	1.471796e+00	
8.560000e-01	8.482143e-02	1.250992e-01	1.000000e-09	1.203824e-01	3.770685e-01	1.470314e+00	
8.570000e-01	8.630952e-02	1.303633e-01	1.678442e-03	1.331922e-01	4.016841e-01	1.468835e+00	
8.580000e-01	8.779762e-02	1.355748e-01	3.564789e-03	1.473563e-01	4.262394e-01	1.467359e+00	
8.590000e-01	8.928571e-02	1.406572e-01	5.446359e-03	1.614463e-01	4.507346e-01	1.465886e+00	
8.600000e-01	9.077381e-02	1.457769e-01	7.323165e-03	1.755171e-01	4.751698e-01	1.464416e+00	
8.610000e-01	9.226190e-02	1.503337e-01	9.195223e-03	1.893710e-01	4.995452e-01	1.462949e+00	
8.620000e-01	9.375000e-02	1.548593e-01	1.106255e-02	2.067830e-01	5.238610e-01	1.461484e+00	
8.630000e-01	9.523810e-02	1.604550e-01	1.292515e-02	2.305873e-01	5.481174e-01	1.460023e+00	
8.640000e-01	9.672619e-02	1.653316e-01	1.478304e-02	2.539398e-01	5.723145e-01	1.458565e+00	
8.650000e-01	9.821429e-02	1.701082e-01	1.663623e-02	2.771845e-01	5.964525e-01	1.457109e+00	
8.660000e-01	9.970238e-02	1.748014e-01	1.848475e-02	3.003310e-01	6.205316e-01	1.455657e+00	
8.670000e-01	1.011905e-01	1.794231e-01	2.032860e-02	3.233858e-01	6.445519e-01	1.454207e+00	
8.680000e-01	1.026786e-01	1.839820e-01	2.216779e-02	3.463540e-01	6.685136e-01	1.452760e+00	
8.690000e-01	1.041667e-01	1.884846e-01	2.400235e-02	3.692393e-01	6.924169e-01	1.451316e+00	
8.700000e-01	1.056548e-01	1.929359e-01	2.583227e-02	3.920448e-01	7.162620e-01	1.449875e+00	
8.710000e-01	1.071429e-01	1.973400e-01	2.765758e-02	4.147727e-01	7.400490e-01	1.448437e+00	
8.720000e-01	1.086310e-01	2.017000e-01	2.947829e-02	4.374250e-01	7.637780e-01	1.447002e+00	
8.730000e-01	1.101190e-01	2.060184e-01	3.129441e-02	4.600032e-01	7.874493e-01	1.445569e+00	
8.740000e-01	1.116071e-01	2.102974e-01	3.310595e-02	4.825088e-01	8.110630e-01	1.444139e+00	
8.750000e-01	1.130952e-01	2.145388e-01	3.491294e-02	5.049427e-01	8.346193e-01	1.442713e+00	
8.760000e-01	1.145833e-01	2.187441e-01	3.671537e-02	5.273060e-01	8.581183e-01	1.441289e+00	
8.770000e-01	1.160714e-01	2.229146e-01	3.851326e-02	5.495995e-01	8.815602e-01	1.439867e+00	
8.780000e-01	1.175595e-01	2.270513e-01	4.030664e-02	5.718241e-01	9.049452e-01	1.438449e+00	
8.790000e-01	1.190476e-01	2.311553e-01	4.209550e-02	5.939803e-01	9.282734e-01	1.437033e+00	
8.800000e-01	1.205357e-01	2.352275e-01	4.387986e-02	6.160689e-01	9.515451e-01	1.435620e+00	
8.810000e-01	1.220238e-01	2.392685e-01	4.565974e-02	6.380903e-01	9.747602e-01	1.434210e+00	
8.820000e-01	1.235119e-01	2.432790e-01	4.743515e-02	6.600451e-01	9.979191e-01	1.432803e+00	
8.830000e-01	1.250000e-01	2.472598e-01	4.920609e-02	6.819338e-01	1.021022e+00	1.431399e+00	
8.840000e-01	1.264881e-01	2.512113e-01	5.097259e-02	7.037569e-01	1.044069e+00	1.429997e+00	
