anpx	anpx	kod	nod	vud	mdflw	rbf	
-4.600000e-01	5.863192e-02	8.372736e-02	1.000000e-09	1.067351e-01	5.701126e-01	1.203494e+00	
-4.500000e-01	5.971770e-02	8.474384e-02	1.000000e-09	1.070704e-01	5.762484e-01	1.203709e+00	
-4.400000e-01	6.080347e-02	8.576106e-02	1.000000e-09	1.074059e-01	5.823859e-01	1.203924e+00	
-4.300000e-01	6.188925e-02	8.677902e-02	1.000000e-09	1.077417e-01	5.885252e-01	1.204138e+00	
-4.200000e-01	6.297503e-02	8.779771e-02	1.000000e-09	1.080778e-01	5.946661e-01	1.204353e+00	
-4.100000e-01	6.406080e-02	8.881712e-02	1.000000e-09	1.084140e-01	6.008088e-01	1.204568e+00	
-4.000000e-01	6.514658e-02	8.983726e-02	1.000000e-09	1.087505e-01	6.069532e-01	1.204783e+00	
-3.900000e-01	6.623236e-02	9.085811e-02	1.000000e-09	1.090873e-01	6.130993e-01	1.204998e+00	
-3.800000e-01	6.731813e-02	9.187968e-02	1.000000e-09	1.094243e-01	6.192471e-01	1.205214e+00	
-3.700000e-01	6.840391e-02	9.290197e-02	1.000000e-09	1.097615e-01	6.253966e-01	1.205429e+00	
-3.600000e-01	6.948969e-02	9.392496e-02	1.000000e-09	1.100990e-01	6.315479e-01	1.205644e+00	
-3.500000e-01	7.057546e-02	9.494865e-02	1.000000e-09	1.104366e-01	6.377009e-01	1.205860e+00	
-3.400000e-01	7.166124e-02	9.597305e-02	1.000000e-09	1.107746e-01	6.438556e-01	1.206075e+00	
-3.300000e-01	7.274701e-02	9.699815e-02	1.000000e-09	1.111127e-01	6.500121e-01	1.206291e+00	
-3.200000e-01	7.383279e-02	9.802394e-02	1.000000e-09	1.114511e-01	6.561702e-01	1.206506e+00	
-3.100000e-01	7.491857e-02	9.905042e-02	1.000000e-09	1.117897e-01	6.623301e-01	1.206722e+00	
-3.000000e-01	7.600434e-02	1.000776e-01	1.000000e-09	1.121285e-01	6.684918e-01	1.206938e+00	
-2.900000e-01	7.709012e-02	1.011054e-01	1.000000e-09	1.124676e-01	6.746551e-01	1.207154e+00	
-2.800000e-01	7.817590e-02	1.021340e-01	1.000000e-09	1.128069e-01	6.808202e-01	1.207370e+00	
-2.700000e-01	7.926167e-02	1.031632e-01	1.000000e-09	1.131464e-01	6.869870e-01	1.207586e+00	
-2.600000e-01	8.034745e-02	1.041931e-01	1.000000e-09	1.134861e-01	6.931556e-01	1.207802e+00	
-2.500000e-01	8.143322e-02	1.052236e-01	1.000000e-09	1.138260e-01	6.993259e-01	1.208018e+00	
-2.400000e-01	8.251900e-02	1.062549e-01	1.000000e-09	1.141662e-01	7.054979e-01	1.208234e+00	
-2.300000e-01	8.360478e-02	1.072867e-01	1.000000e-09	1.145066e-01	7.116716e-01	1.208450e+00	
-2.200000e-01	8.469055e-02	1.083193e-01	1.000000e-09	1.148472e-01	7.178471e-01	1.208667e+00	
-2.100000e-01	8.577633e-02	1.093525e-01	1.000000e-09	1.151880e-01	7.240244e-01	1.208883e+00	
-2.000000e-01	8.686211e-02	1.103864e-01	1.000000e-09	1.155291e-01	7.302033e-01	1.209100e+00	
-1.900000e-01	8.794788e-02	1.114209e-01	1.000000e-09	1.158703e-01	7.363840e-01	1.209317e+00	
-1.800000e-01	8.903366e-02	1.124561e-01	1.000000e-09	1.162118e-01	7.425665e-01	1.209533e+00	
-1.700000e-01	9.011944e-02	1.134919e-01	1.000000e-09	1.165535e-01	7.487507e-01	1.209750e+00	
-1.600000e-01	9.120521e-02	1.145284e-01	1.000000e-09	1.168954e-01	7.549366e-01	1.209967e+00	
-1.500000e-01	9.229099e-02	1.155655e-01	1.000000e-09	1.172375e-01	7.611243e-01	1.210184e+00	
-1.400000e-01	9.337676e-02	1.166032e-01	1.000000e-09	1.175798e-01	7.673137e-01	1.210401e+00	
-1.300000e-01	9.446254e-02	1.176416e-01	1.000000e-09	1.179224e-01	7.735049e-01	1.210618e+00	
-1.200000e-01	9.554832e-02	1.186806e-01	1.000000e-09	1.182651e-01	7.796978e-01	1.210835e+00	
-1.100000e-01	9.663409e-02	1.197203e-01	1.000000e-09	1.186080e-01	7.858925e-01	1.211052e+00	
-1.000000e-01	9.771987e-02	1.207605e-01	1.000000e-09	1.189512e-01	7.920889e-01	1.211270e+00	
-9.000000e-02	9.880565e-02	1.218014e-01	1.000000e-09	1.192946e-01	7.982870e-01	1.211487e+00	
-8.000000e-02	9.989142e-02	1.228430e-01	1.000000e-09	1.196381e-01	8.044869e-01	1.211705e+00	
-7.000000e-02	1.009772e-01	1.238851e-01	1.000000e-09	1.199819e-01	8.106886e-01	1.211922e+00	
-6.000000e-02	1.020630e-01	1.249279e-01	1.000000e-09	1.203259e-01	8.168920e-01	1.212140e+00	
-5.000000e-02	1.031488e-01	1.259713e-01	1.000000e-09	1.206701e-01	8.230972e-01	1.212358e+00	
-4.000000e-02	1.042345e-01	1.270153e-01	1.000000e-09	1.210144e-01	8.293041e-01	1.212575e+00	
-3.000000e-02	1.053203e-01	1.280599e-01	1.000000e-09	1.213590e-01	8.355128e-01	1.212793e+00	
-2.000000e-02	1.064061e-01	1.291051e-01	1.000000e-09	1.217038e-01	8.417232e-01	1.213011e+00	
-1.000000e-02	1.074919e-01	1.301509e-01	1.000000e-09	1.220488e-01	8.479354e-01	1.213229e+00	
7.528700e-16	1.085776e-01	1.311974e-01	1.000000e-09	1.223940e-01	8.541494e-01	1.213447e+00	
1.000000e-02	1.096634e-01	1.322444e-01	1.000000e-09	1.227394e-01	8.603651e-01	1.213666e+00	
2.000000e-02	1.107492e-01	1.332920e-01	1.000000e-09	1.230850e-01	8.665826e-01	1.213884e+00	
3.000000e-02	1.118350e-01	1.343403e-01	1.000000e-09	1.234307e-01	8.728018e-01	1.214102e+00	
4.000000e-02	1.129207e-01	1.353891e-01	1.000000e-09	1.237767e-01	8.790228e-01	1.214321e+00	
5.000000e-02	1.140065e-01	1.364385e-01	1.000000e-09	1.241229e-01	8.852456e-01	1.214539e+00	
6.000000e-02	1.150923e-01	1.374885e-01	1.000000e-09	1.244693e-01	8.914701e-01	1.214758e+00	
7.000000e-02	1.161781e-01	1.385391e-01	1.000000e-09	1.248158e-01	8.976964e-01	1.214977e+00	
8.000000e-02	1.172638e-01	1.398287e-01	4.571019e-04	1.282569e-01	9.039245e-01	1.215195e+00	
9.000000e-02	1.183496e-01	1.411702e-01	1.040663e-03	1.325494e-01	9.101543e-01	1.215414e+00	
1.000000e-01	1.194354e-01	1.424974e-01	1.624391e-03	1.368383e-01	9.163859e-01	1.215633e+00	
1.100000e-01	1.205212e-01	1.438115e-01	2.208287e-03	1.411239e-01	9.226193e-01	1.215852e+00	
