amk	amk	kod	nod	vud	mdflw	rbf	
0.000000e+00	0.000000e+00	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.000000e-03	4.997501e-04	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
2.000000e-03	9.995002e-04	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
3.000000e-03	1.499250e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
4.000000e-03	1.999000e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
5.000000e-03	2.498751e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
6.000000e-03	2.998501e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
7.000000e-03	3.498251e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
8.000000e-03	3.998001e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
9.000000e-03	4.497751e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.000000e-02	4.997501e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.100000e-02	5.497251e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.200000e-02	5.997001e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.300000e-02	6.496752e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.400000e-02	6.996502e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.500000e-02	7.496252e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.600000e-02	7.996002e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.700000e-02	8.495752e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.800000e-02	8.995502e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
1.900000e-02	9.495252e-03	0.000000e+00	9.306690e-03	1.405159e-01	9.983964e-01	1.218516e+00	
