aum	aum	kod	nod	vud	mdflw	rbf	
5.500000e-02	2.748626e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
5.600000e-02	2.798601e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
5.700000e-02	2.848576e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
5.800000e-02	2.898551e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
5.900000e-02	2.948526e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.000000e-02	2.998501e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.100000e-02	3.048476e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.200000e-02	3.098451e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.300000e-02	3.148426e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.400000e-02	3.198401e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.500000e-02	3.248376e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.600000e-02	3.298351e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.700000e-02	3.348326e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.800000e-02	3.398301e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
6.900000e-02	3.448276e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.000000e-02	3.498251e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.100000e-02	3.548226e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.200000e-02	3.598201e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.300000e-02	3.648176e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.400000e-02	3.698151e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.500000e-02	3.748126e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.600000e-02	3.798101e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.700000e-02	3.848076e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.800000e-02	3.898051e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
7.900000e-02	3.948026e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.000000e-02	3.998001e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.100000e-02	4.047976e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.200000e-02	4.097951e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.300000e-02	4.147926e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.400000e-02	4.197901e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.500000e-02	4.247876e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.600000e-02	4.297851e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.700000e-02	4.347826e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.800000e-02	4.397801e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
8.900000e-02	4.447776e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
9.000000e-02	4.497751e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
9.100000e-02	4.547726e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
9.200000e-02	4.597701e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
9.300000e-02	4.647676e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
9.400000e-02	4.697651e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
