pamkrn	pamkrn	kod	nod	vud	mdflw	rbf	
0.000000e+00	0.000000e+00	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.000000e-03	4.997501e-04	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.000000e-03	9.995002e-04	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.000000e-03	1.499250e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.000000e-03	1.999000e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.000000e-03	2.498751e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.000000e-03	2.998501e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
7.000000e-03	3.498251e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
8.000000e-03	3.998001e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
9.000000e-03	4.497751e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.000000e-02	4.997501e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.100000e-02	5.497251e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.200000e-02	5.997001e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.300000e-02	6.496752e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.400000e-02	6.996502e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.500000e-02	7.496252e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.600000e-02	7.996002e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.700000e-02	8.495752e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.800000e-02	8.995502e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
1.900000e-02	9.495252e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.000000e-02	9.995002e-03	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.100000e-02	1.049475e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.200000e-02	1.099450e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.300000e-02	1.149425e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.400000e-02	1.199400e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.500000e-02	1.249375e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.600000e-02	1.299350e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.700000e-02	1.349325e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.800000e-02	1.399300e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
2.900000e-02	1.449275e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.000000e-02	1.499250e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.100000e-02	1.549225e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.200000e-02	1.599200e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.300000e-02	1.649175e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.400000e-02	1.699150e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.500000e-02	1.749125e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.600000e-02	1.799100e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.700000e-02	1.849075e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.800000e-02	1.899050e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
3.900000e-02	1.949025e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.000000e-02	1.999000e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.100000e-02	2.048976e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.200000e-02	2.098951e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.300000e-02	2.148926e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.400000e-02	2.198901e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.500000e-02	2.248876e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.600000e-02	2.298851e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.700000e-02	2.348826e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.800000e-02	2.398801e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
4.900000e-02	2.448776e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.000000e-02	2.498751e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.100000e-02	2.548726e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.200000e-02	2.598701e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.300000e-02	2.648676e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.400000e-02	2.698651e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.500000e-02	2.748626e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.600000e-02	2.798601e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.700000e-02	2.848576e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.800000e-02	2.898551e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
5.900000e-02	2.948526e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.000000e-02	2.998501e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.100000e-02	3.048476e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.200000e-02	3.098451e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.300000e-02	3.148426e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.400000e-02	3.198401e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.500000e-02	3.248376e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.600000e-02	3.298351e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.700000e-02	3.348326e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.800000e-02	3.398301e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
6.900000e-02	3.448276e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
7.000000e-02	3.498251e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
7.100000e-02	3.548226e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
7.200000e-02	3.598201e-02	4.491470e+00	2.255010e+00	2.754876e+01	2.587587e+01	2.173139e+00	
7.300000e-02	3.648176e-02	4.486467e+00	2.252459e+00	2.751763e+01	2.584672e+01	2.171967e+00	
7.400000e-02	3.698151e-02	4.478652e+00	2.248473e+00	2.746900e+01	2.580119e+01	2.170135e+00	
7.500000e-02	3.748126e-02	4.470849e+00	2.244494e+00	2.742046e+01	2.575572e+01	2.168306e+00	
7.600000e-02	3.798101e-02	4.463059e+00	2.240521e+00	2.737198e+01	2.571033e+01	2.166481e+00	
7.700000e-02	3.848076e-02	4.455282e+00	2.236554e+00	2.732359e+01	2.566502e+01	2.164658e+00	
7.800000e-02	3.898051e-02	4.447517e+00	2.232593e+00	2.727527e+01	2.561977e+01	2.162838e+00	
7.900000e-02	3.948026e-02	4.439764e+00	2.228639e+00	2.722703e+01	2.557459e+01	2.161022e+00	
