amna	amna	kod	nod	vud	mdflw	rbf	
5.500000e-02	2.748626e-02	1.649115e-01	7.396051e-02	9.112339e-01	9.983964e-01	1.218516e+00	
5.600000e-02	2.798601e-02	1.649102e-01	7.389621e-02	9.105188e-01	9.983964e-01	1.218516e+00	
5.700000e-02	2.848576e-02	1.649090e-01	7.383191e-02	9.098036e-01	9.983964e-01	1.218516e+00	
5.800000e-02	2.898551e-02	1.649077e-01	7.376761e-02	9.090885e-01	9.983964e-01	1.218516e+00	
5.900000e-02	2.948526e-02	1.649065e-01	7.370331e-02	9.083733e-01	9.983964e-01	1.218516e+00	
6.000000e-02	2.998501e-02	1.649052e-01	7.363901e-02	9.076582e-01	9.983964e-01	1.218516e+00	
6.100000e-02	3.048476e-02	1.649040e-01	7.357471e-02	9.069430e-01	9.983964e-01	1.218516e+00	
6.200000e-02	3.098451e-02	1.649027e-01	7.351041e-02	9.062279e-01	9.983964e-01	1.218516e+00	
6.300000e-02	3.148426e-02	1.649014e-01	7.344611e-02	9.055128e-01	9.983964e-01	1.218516e+00	
6.400000e-02	3.198401e-02	1.649002e-01	7.338181e-02	9.047976e-01	9.983964e-01	1.218516e+00	
6.500000e-02	3.248376e-02	1.648989e-01	7.331751e-02	9.040825e-01	9.983964e-01	1.218516e+00	
6.600000e-02	3.298351e-02	1.648976e-01	7.325321e-02	9.033673e-01	9.983964e-01	1.218516e+00	
6.700000e-02	3.348326e-02	1.648964e-01	7.318891e-02	9.026522e-01	9.983964e-01	1.218516e+00	
6.800000e-02	3.398301e-02	1.648951e-01	7.312461e-02	9.019370e-01	9.983964e-01	1.218516e+00	
6.900000e-02	3.448276e-02	1.648938e-01	7.306031e-02	9.012219e-01	9.983964e-01	1.218516e+00	
7.000000e-02	3.498251e-02	1.648925e-01	7.299601e-02	9.005067e-01	9.983964e-01	1.218516e+00	
7.100000e-02	3.548226e-02	1.648913e-01	7.293171e-02	8.997915e-01	9.983964e-01	1.218516e+00	
7.200000e-02	3.598201e-02	1.648900e-01	7.286741e-02	8.990764e-01	9.983964e-01	1.218516e+00	
7.300000e-02	3.648176e-02	1.648887e-01	7.280311e-02	8.983612e-01	9.983964e-01	1.218516e+00	
7.400000e-02	3.698151e-02	1.648874e-01	7.273881e-02	8.976461e-01	9.983964e-01	1.218516e+00	
7.500000e-02	3.748126e-02	1.648861e-01	7.267451e-02	8.969309e-01	9.983964e-01	1.218516e+00	
7.600000e-02	3.798101e-02	1.648849e-01	7.261021e-02	8.962157e-01	9.983964e-01	1.218516e+00	
7.700000e-02	3.848076e-02	1.648836e-01	7.254591e-02	8.955006e-01	9.983964e-01	1.218516e+00	
7.800000e-02	3.898051e-02	1.648823e-01	7.248161e-02	8.947854e-01	9.983964e-01	1.218516e+00	
7.900000e-02	3.948026e-02	1.648810e-01	7.241731e-02	8.940703e-01	9.983964e-01	1.218516e+00	
8.000000e-02	3.998001e-02	1.648797e-01	7.235301e-02	8.933551e-01	9.983964e-01	1.218516e+00	
8.100000e-02	4.047976e-02	1.648784e-01	7.228871e-02	8.926399e-01	9.983964e-01	1.218516e+00	
8.200000e-02	4.097951e-02	1.648771e-01	7.222441e-02	8.919248e-01	9.983964e-01	1.218516e+00	
8.300000e-02	4.147926e-02	1.648758e-01	7.216011e-02	8.912096e-01	9.983964e-01	1.218516e+00	
8.400000e-02	4.197901e-02	1.648745e-01	7.209581e-02	8.904944e-01	9.983964e-01	1.218516e+00	
8.500000e-02	4.247876e-02	1.648732e-01	7.203151e-02	8.897792e-01	9.983964e-01	1.218516e+00	
8.600000e-02	4.297851e-02	1.648719e-01	7.196721e-02	8.890641e-01	9.983964e-01	1.218516e+00	
8.700000e-02	4.347826e-02	1.648706e-01	7.190291e-02	8.883489e-01	9.983964e-01	1.218516e+00	
8.800000e-02	4.397801e-02	1.648692e-01	7.183861e-02	8.876337e-01	9.983964e-01	1.218516e+00	
8.900000e-02	4.447776e-02	1.648679e-01	7.177431e-02	8.869185e-01	9.983964e-01	1.218516e+00	
9.000000e-02	4.497751e-02	1.648666e-01	7.171001e-02	8.862034e-01	9.983964e-01	1.218516e+00	
9.100000e-02	4.547726e-02	1.648653e-01	7.164571e-02	8.854882e-01	9.983964e-01	1.218516e+00	
9.200000e-02	4.597701e-02	1.648640e-01	7.158141e-02	8.847730e-01	9.983964e-01	1.218516e+00	
9.300000e-02	4.647676e-02	1.648627e-01	7.151711e-02	8.840578e-01	9.983964e-01	1.218516e+00	
9.400000e-02	4.697651e-02	1.648613e-01	7.145281e-02	8.833426e-01	9.983964e-01	1.218516e+00	
9.500000e-02	4.747626e-02	1.648600e-01	7.138851e-02	8.826275e-01	9.983964e-01	1.218516e+00	
9.600000e-02	4.797601e-02	1.648587e-01	7.132421e-02	8.819123e-01	9.983964e-01	1.218516e+00	
9.700000e-02	4.847576e-02	1.648573e-01	7.125991e-02	8.811971e-01	9.983964e-01	1.218516e+00	
9.800000e-02	4.897551e-02	1.648560e-01	7.119561e-02	8.804819e-01	9.983964e-01	1.218516e+00	
9.900000e-02	4.947526e-02	1.648547e-01	7.113131e-02	8.797667e-01	9.983964e-01	1.218516e+00	
1.000000e-01	4.997501e-02	1.648533e-01	7.106701e-02	8.790515e-01	9.983964e-01	1.218516e+00	
1.010000e-01	5.047476e-02	1.648520e-01	7.100271e-02	8.783363e-01	9.983964e-01	1.218516e+00	
