pa	pa	kod	nod	vud	mdflw	rbf	
1.350000e+02	4.954955e-01	2.106573e+00	1.038675e+00	1.270899e+01	1.197963e+01	1.624848e+00	
1.360000e+02	5.045045e-01	2.160292e+00	1.066073e+00	1.304325e+01	1.229264e+01	1.636884e+00	
1.370000e+02	5.135135e-01	2.213928e+00	1.093428e+00	1.337699e+01	1.260516e+01	1.648920e+00	
1.380000e+02	5.225225e-01	2.267482e+00	1.120741e+00	1.371022e+01	1.291720e+01	1.660956e+00	
1.390000e+02	5.315315e-01	2.320955e+00	1.148013e+00	1.404295e+01	1.322878e+01	1.672992e+00	
1.400000e+02	5.405405e-01	2.374350e+00	1.175245e+00	1.437519e+01	1.353990e+01	1.685027e+00	
1.410000e+02	5.495495e-01	2.427670e+00	1.202439e+00	1.470697e+01	1.385058e+01	1.697063e+00	
1.420000e+02	5.585586e-01	2.480915e+00	1.229594e+00	1.503828e+01	1.416082e+01	1.709099e+00	
1.430000e+02	5.675676e-01	2.534088e+00	1.256713e+00	1.536914e+01	1.447065e+01	1.721135e+00	
1.440000e+02	5.765766e-01	2.587190e+00	1.283796e+00	1.569956e+01	1.478006e+01	1.733171e+00	
1.450000e+02	5.855856e-01	2.640223e+00	1.310844e+00	1.602955e+01	1.508907e+01	1.745207e+00	
1.460000e+02	5.945946e-01	2.693189e+00	1.337857e+00	1.635913e+01	1.539769e+01	1.757243e+00	
1.470000e+02	6.036036e-01	2.746089e+00	1.364837e+00	1.668829e+01	1.570593e+01	1.769279e+00	
1.480000e+02	6.126126e-01	2.798925e+00	1.391784e+00	1.701706e+01	1.601379e+01	1.781315e+00	
1.490000e+02	6.216216e-01	2.851699e+00	1.418699e+00	1.734543e+01	1.632129e+01	1.793351e+00	
1.500000e+02	6.306306e-01	2.904411e+00	1.445583e+00	1.767343e+01	1.662843e+01	1.805387e+00	
1.510000e+02	6.396396e-01	2.957063e+00	1.472436e+00	1.800105e+01	1.693522e+01	1.817422e+00	
1.520000e+02	6.486486e-01	3.009657e+00	1.499260e+00	1.832831e+01	1.724167e+01	1.829458e+00	
1.530000e+02	6.576577e-01	3.062193e+00	1.526055e+00	1.865521e+01	1.754779e+01	1.841494e+00	
1.540000e+02	6.666667e-01	3.114674e+00	1.552821e+00	1.898177e+01	1.785358e+01	1.853530e+00	
1.550000e+02	6.756757e-01	3.167100e+00	1.579559e+00	1.930799e+01	1.815906e+01	1.865566e+00	
1.560000e+02	6.846847e-01	3.219473e+00	1.606270e+00	1.963387e+01	1.846422e+01	1.877602e+00	
1.570000e+02	6.936937e-01	3.271793e+00	1.632954e+00	1.995943e+01	1.876908e+01	1.889638e+00	
1.580000e+02	7.027027e-01	3.324062e+00	1.659612e+00	2.028467e+01	1.907364e+01	1.901674e+00	
1.590000e+02	7.117117e-01	3.376281e+00	1.686245e+00	2.060960e+01	1.937791e+01	1.913710e+00	
1.600000e+02	7.207207e-01	3.428452e+00	1.712852e+00	2.093422e+01	1.968189e+01	1.925746e+00	
1.610000e+02	7.297297e-01	3.480574e+00	1.739436e+00	2.125855e+01	1.998560e+01	1.937782e+00	
1.620000e+02	7.387387e-01	3.532649e+00	1.765995e+00	2.158258e+01	2.028903e+01	1.949817e+00	
1.630000e+02	7.477477e-01	3.584679e+00	1.792531e+00	2.190633e+01	2.059219e+01	1.961853e+00	
1.640000e+02	7.567568e-01	3.636663e+00	1.819044e+00	2.222980e+01	2.089510e+01	1.973889e+00	
1.650000e+02	7.657658e-01	3.688604e+00	1.845534e+00	2.255299e+01	2.119774e+01	1.985925e+00	
1.660000e+02	7.747748e-01	3.740501e+00	1.872003e+00	2.287592e+01	2.150014e+01	1.997961e+00	
1.670000e+02	7.837838e-01	3.792356e+00	1.898450e+00	2.319859e+01	2.180229e+01	2.009997e+00	
1.680000e+02	7.927928e-01	3.844170e+00	1.924876e+00	2.352099e+01	2.210419e+01	2.022033e+00	
1.690000e+02	8.018018e-01	3.895943e+00	1.951281e+00	2.384315e+01	2.240586e+01	2.034069e+00	
1.700000e+02	8.108108e-01	3.947677e+00	1.977666e+00	2.416505e+01	2.270730e+01	2.046105e+00	
1.710000e+02	8.198198e-01	3.999371e+00	2.004031e+00	2.448672e+01	2.300852e+01	2.058141e+00	
1.720000e+02	8.288288e-01	4.051027e+00	2.030377e+00	2.480814e+01	2.330951e+01	2.070177e+00	
1.730000e+02	8.378378e-01	4.102646e+00	2.056703e+00	2.512934e+01	2.361028e+01	2.082212e+00	
1.740000e+02	8.468468e-01	4.154228e+00	2.083011e+00	2.545030e+01	2.391084e+01	2.094248e+00	
1.750000e+02	8.558559e-01	4.205774e+00	2.109300e+00	2.577105e+01	2.421119e+01	2.106284e+00	
1.760000e+02	8.648649e-01	4.257285e+00	2.135572e+00	2.609157e+01	2.451133e+01	2.118320e+00	
1.770000e+02	8.738739e-01	4.308761e+00	2.161826e+00	2.641187e+01	2.481127e+01	2.130356e+00	
1.780000e+02	8.828829e-01	4.360203e+00	2.188062e+00	2.673197e+01	2.511101e+01	2.142392e+00	
1.790000e+02	8.918919e-01	4.411612e+00	2.214281e+00	2.705186e+01	2.541056e+01	2.154428e+00	
1.800000e+02	9.009009e-01	4.462988e+00	2.240484e+00	2.737154e+01	2.570992e+01	2.166464e+00	
1.810000e+02	9.099099e-01	4.514332e+00	2.266671e+00	2.769102e+01	2.600909e+01	2.178500e+00	
1.820000e+02	9.189189e-01	4.565645e+00	2.292841e+00	2.801031e+01	2.630808e+01	2.190536e+00	
1.830000e+02	9.279279e-01	4.616926e+00	2.318996e+00	2.832941e+01	2.660689e+01	2.202572e+00	
1.840000e+02	9.369369e-01	4.668178e+00	2.345135e+00	2.864832e+01	2.690552e+01	2.214607e+00	
1.850000e+02	9.459459e-01	4.719399e+00	2.371258e+00	2.896704e+01	2.720397e+01	2.226643e+00	
1.860000e+02	9.549550e-01	4.770591e+00	2.397367e+00	2.928558e+01	2.750226e+01	2.238679e+00	
1.870000e+02	9.639640e-01	4.821755e+00	2.423462e+00	2.960394e+01	2.780038e+01	2.250715e+00	
1.880000e+02	9.729730e-01	4.872890e+00	2.449542e+00	2.992212e+01	2.809833e+01	2.262751e+00	
1.890000e+02	9.819820e-01	4.923997e+00	2.475607e+00	3.024013e+01	2.839613e+01	2.274787e+00	
1.900000e+02	9.909910e-01	4.975077e+00	2.501659e+00	3.055798e+01	2.869376e+01	2.286823e+00	
