vb	vb	kod	nod	vud	mdflw	rbf	
5.100000e+00	3.642384e-01	9.370966e-02	1.000000e-09	1.100279e-01	6.228042e-01	1.218516e+00	
5.120000e+00	3.708609e-01	8.959606e-02	1.000000e-09	1.086710e-01	5.975517e-01	1.218516e+00	
5.140000e+00	3.774834e-01	8.548105e-02	1.000000e-09	1.073136e-01	5.722472e-01	1.218516e+00	
5.160000e+00	3.841060e-01	8.136494e-02	1.000000e-09	1.059558e-01	5.468907e-01	1.218516e+00	
5.180000e+00	3.907285e-01	7.724805e-02	1.000000e-09	1.045977e-01	5.214819e-01	1.218516e+00	
5.200000e+00	3.973510e-01	7.313074e-02	1.000000e-09	1.032396e-01	4.960206e-01	1.218516e+00	
5.220000e+00	4.039735e-01	6.901339e-02	1.000000e-09	1.018814e-01	4.705069e-01	1.218516e+00	
5.240000e+00	4.105960e-01	6.489638e-02	1.000000e-09	1.005233e-01	4.449404e-01	1.218516e+00	
5.260000e+00	4.172185e-01	6.078015e-02	1.000000e-09	9.916549e-02	4.193210e-01	1.218516e+00	
5.280000e+00	4.238411e-01	5.666515e-02	1.000000e-09	9.780807e-02	3.936486e-01	1.218516e+00	
5.300000e+00	4.304636e-01	5.255187e-02	1.000000e-09	9.645122e-02	3.679231e-01	1.218516e+00	
5.320000e+00	4.370861e-01	4.844082e-02	1.000000e-09	9.509512e-02	3.421442e-01	1.218516e+00	
5.340000e+00	4.437086e-01	4.433257e-02	1.000000e-09	9.373993e-02	3.163118e-01	1.218516e+00	
5.360000e+00	4.503311e-01	4.022771e-02	1.000000e-09	9.238586e-02	2.904257e-01	1.218516e+00	
5.380000e+00	4.569536e-01	3.612689e-02	1.000000e-09	9.103312e-02	2.644858e-01	1.218516e+00	
5.400000e+00	4.635762e-01	3.203079e-02	1.000000e-09	8.968194e-02	2.384920e-01	1.218516e+00	
5.420000e+00	4.701987e-01	2.794015e-02	1.000000e-09	8.833257e-02	2.124440e-01	1.218516e+00	
5.440000e+00	4.768212e-01	2.385579e-02	1.000000e-09	8.698526e-02	1.863418e-01	1.218516e+00	
5.460000e+00	4.834437e-01	1.977854e-02	1.000000e-09	8.564030e-02	1.601851e-01	1.218516e+00	
5.480000e+00	4.900662e-01	1.570936e-02	1.000000e-09	8.429800e-02	1.339737e-01	1.218516e+00	
